country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,99.3,
Afghanistan,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,,66.1
Anguilla,,,,,,,,,,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,99.1,,,98.9
Netherlands Antilles,,,,,,,,,,,,,,,,,,97.3,,,,,,,,,,,,,,,,,,,98.5
United Arab Emirates,56.3,,,,,,,,,,84.5,,,,,,,,,,,,,,,,,,,,97,,,,,,
Argentina,,,,,,97.3,,,,,,,,,,,98.5,,,,,,,,,,99.1,,,,,,,,,,99.4
Armenia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,99.9,,,,,,,,,,99.8
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,100,,100,,
Burundi,,,,,21.5,,,,,,,,,,,48,,,,,,,,,,70.4,,,,,,,,88.1,,,
Benin,,,,,18.3,,,,,,,,,,,,,26.7,,,,,,,,,,33.2,,,,30.8,,,,,
Burkina Faso,6.66,,,,,,,,,,,,,,,,14.2,,,,,14,,,,,,,24.8,,26.5,,33.1,,,,
Bangladesh,,,,,,,27.1,,,,,,,,,,38,,,,,,,,,,60.3,,,,,,,,,,80.4
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,97.7
Bahrain,,,,,,,82.1,,,,,,,,,,96.6,,,,,,,,,,97.3,,,,,,,,,97.6,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.7
Belarus,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Belize,,,,,,,,,,,,,,,,,76.7,,,,,,,,,,,,,,,,,,,,
Bolivia,,75.8,,,,,,,,,,,,,,,,91.6,,,,,,,,,96.1,,,,,,99.1,98.9,99.1,,
Brazil,,,,,,85.2,,,,,,,,,,,,,,,,,,,,95.7,,,,97.9,,98.4,98.6,98.5,98.7,98.3,
Brunei,,,,,,,93.2,,,,,,,,,,98.1,,,,,,,,,,98.9,,,,,,,,,,99.7
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,
Botswana,,,,,,,,,,,,,,,,,92.3,,,,,,,,,,,,95.6,,,,,,,,97
Central African Republic,18,,,,,,,,,,,,,34.9,,,,,,,,,,,,49,,,,,,,,,,,59.1
Chile,,,,,,,,97.1,,,,,,,,,,98.7,,,,,,,,,,99.2,,,,,,99.2,98.9,,
China,,,,,,,,82.1,,,,,,,,91.5,,,,,,,,,,98.5,,,,,,,,,,99.6,
Cote d'Ivoire,,,,,,,,,,,,,,37.9,,,,,,,,,,39.9,,52.1,,,,,,,,,,,62.8
Cameroon,,59.1,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,77.5,,,76.4,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,,,,,,53.3,,,,
Colombia,,,,,,,,,,,,,,,,,,,91.8,,,97.6,,,,,,,,98.4,98.4,98.2,98.4,98.4,98.4,98.5,98.7
Comoros,,,,,,54.9,,,,,,,,,,,,,,,,,,,,77.6,,,,,,,,,,,85.9
Cape Verde,,,,,,,,,,,,,,,,86.4,,,,,,,,,,,,,,98,,,,,,,99.3
Costa Rica,,,,,,,,,,97.5,,,,,,,,,,,,,,,,98,,,,,,,,,,,98.7
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,,,,
Cyprus,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,99.8,,,,,,,,,,99.8
Dominican Republic,,,,,,,83.9,,,,,,,,,,,,,,,,,,,,,95.4,,,,,96.9,,,97.9,98
Algeria,,,,,,,,,,,,,62.2,,,,,,,,,,,,,,,86.1,,,,89.1,,,,,
Ecuador,,,,,,,,92.3,,,,,,,,95.8,,,,,,,,,,,96.5,,,,,,95.6,,96.8,98.8,98.8
Egypt,,38.1,,,,,,,,,,54,,,,,,,,,,66.9,,,,,,,,,79,81.8,,,,84.3,85.2
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,,,,,,,,,87.7
Spain,,,,,,,98.6,,,,,,,,,,99.6,,,,,,,,,,,,,,99.5,,99.6,99.6,99.6,99.7,
Estonia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,99.8,,,,,,,,,,,99.8
Ethiopia,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,38.5,33.3,,47,,,,
Gabon,,,,,,,,,,,,,,,,,,,92.1,,,,,,,,,,,95.6,,,,,,,97
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,99.8
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,,,,,,,,,,83.2,
Guinea,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,34.1,,,,,,,21.8,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,,,,,,,,,,,63.6
Guinea-Bissau,,,,,17.8,,,,,,,,,,,,,,,,,,,,,45.9,,,,,,,,,,,67.1
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,98.4
Greece,,,,,,,98.9,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99.3
Guatemala,,,,,,,,,,,,,,,,,,,,70.7,,,,,,,,78.4,,,,,,,,,85.5
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,,,,,,95,,,95.9,96.9
Croatia,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,99.7,,,,,,,,,,99.7
Haiti,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,80.7,,,70.5,,,,,
Hungary,,,,,,99.3,,,,,,,,,,,,,,99.2,,,,,,,,,,99.1,,,,,,,99
Indonesia,,,,,,81.7,,,,,,,,,,95.1,,,,,,,,,,,,,,98.5,,96.3,,99.4,99.4,,98.8
India,,,,,,,40.3,,,,,,,,,,49.4,,,,,,,,,,67.8,,,,,74.4,,,,,
Iran,,42.3,,,,,,,,,,65.6,,,,,81.2,,,,,90.6,,,,,,,,,96.7,96.1,,98.5,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,,,,,,,,,,,80.5
Israel,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,,,98.5
Jordan,,,,,84.8,,,,,,,,,,,,,,,,,,,,,,,,98.9,,99,,99,,,98.8,99.3
Kazakhstan,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9,,,,,,,,,,99.9,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,91.9,,,,,,,81.6,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,71.1,,,,,,78.9,,,,85.5,85.9,,
Kuwait,66,,,,,76,,,,,84.1,,,,,,,,,,90.2,,,,,,,,,,99.8,98.5,98.5,98.7,,,
Lao,,,,,,,,,,,,,,,,,,,,,64,,,,,73.6,74.7,,,,78.7,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,,,,
Liberia,,,,,,,,,,33.7,,,,,,,,,,54.2,,,,,,,,,,73.4,,,37.2,,,,
Libya,,,,,,,,,,80.3,,,,,,,,,,96.3,,,,,,,,,,99.4,,,,,,,99.8
Sri Lanka,,,,,,,90.2,,,,,,,,,,,,,,,,,,,,96.1,,,,,97.9,,98.6,,98.6,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,,,,,,,,,92.1,,
Lithuania,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,99.7,,,,,,,,,,99.8
Latvia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,,,,,99.7
"Macao, China",,,,,,,94.2,,,,,,,,,,,,,,,,,,,,99.8,,,,,99.7,,,,,99.7
Morocco,,,,,,,,30.9,,,,,,,,,,,,46,,,,,,,,,,60.5,,,,69.9,72.2,,74
Moldova,,,,,,,,,,,,,,,99.7,,,,,,,,,,,99.7,,,,,,,,,,,100
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,,,,,,,,,64,,
Maldives,,,87.1,,,,,,,,96.2,,,,,98.3,,,,,98.3,,,,,98.3,,,,,,99.4,,,,,
Mexico,,,,,,90.9,,,,,,,,,,94.9,,,,,,,,,,96.5,,97.3,,97.6,97.6,97.7,98.1,98.4,98.4,98.5,98.5
North Macedonia,,,,,,,,,,,,,,,,,,,,98.6,,,,,,,,98.5,,,,,,,,,98.5
Mali,,13.5,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,,30.8,,,,34,38.8
Malta,,,,,,,,,,,99,,,,,,,,,,97.8,,,,,,,,,,99.1,,,,,,
Myanmar,,,,,,,,,81.3,,,,,,,,,,,,,,,,,93.5,,,,,,,,,,,95.8
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,,97.3
Mozambique,,,,,,25.1,,,,,,,,,,,,,,,,,36.5,,,,,,50,,,,,,56.5,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,66.2
Mauritius,,,,,,,,,,,,,,,,91.7,,,,,,,,,,95.4,,,,,,,,,,,97.8
Malawi,,,,,,,,,,,,,49.1,,,,,,,,,,,70.7,,,,,,,,,,,,70,
Malaysia,,,,,,86.5,,,,,,,,,,,95.2,,,,,,,,,97.3,,,,,,,,,,98.5,
Namibia,,,,,,,,,,,,,,,,,90.4,,,,,,,,,,93.5,,,,,,90.6,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,23.2,,,,,,
Nigeria,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,60.5,,,,,58,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8,,,,88.8,,,,,,
Nepal,,,,,,,15,,,,,,,,,,32.7,,,,,,,,,,60.1,,,,,,,,,,77.5
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,,97.6,,98.2,
Pakistan,,,,,,,23.8,,,,,,,,,,,,,,,,,43.1,,,,,,,53.1,58.4,,61.3,61.5,,
Panama,,,,,,96.3,,,,,,,,,,94.8,,,,,,,,,,95.6,,,,,,,,,,97.3,
Peru,,,,,,,89.8,,,,,,,,,,,,93.8,,,,,,,,,,,95.7,96.3,97,96.7,,,,
Philippines,,,,,,92.5,,,,,,,,,,96.9,,,,,,,,,,95.7,,,96.6,,,,,98.5,,,
Palau,,,,,,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,,,,,,,,,,,74.8
Poland,,,,99.8,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,100
Puerto Rico,,,,,,94.4,,,,,,,,,,94.1,,,,,,,,,,,,,,89.3,,,,,,,87
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
Portugal,,,,,,,98.2,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,99.8
Paraguay,,,,,,,,89,,,,,,,,,,95.4,,,,,,,,,,,,,,,98.8,98.2,99,98.7,
Palestine,,,,,,,,,,,,,,,,,,,,,,,97.2,,,,,,,98.8,,99.2,99,99,99.2,99.3,99.4
Qatar,,,,,,,,,,,,91.2,,,,,,,,,,,95.8,,,,,,,97.5,,,99,96.9,98,98.3,
Romania,,,,,,,,,,,,,,,,,,99,,,,,,,,,,97.8,,,,,,,,,97.4
Russia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,99.8,,,,,,,,99.8,
Rwanda,,,,44.7,,,,,,,,,,,,,,,,,,,,,,76.9,,,,,,,,,,78,
Saudi Arabia,,,,,,,,,,,,,,,,,,81.1,,,,,,,,93.7,,,,94.7,,,,,,,97
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,,,,,,,,,,,84.5
Senegal,,,,,,,,,,,,,,28,,,,,,,,,,,,,,41,,,,44.5,,,56.2,,
Singapore,,,,,,96.2,,,,,,,,,,99.1,,,,,,,,,,99.6,,,,,,,,,,99.8,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,,,52.1
El Salvador,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,91,,95.5,93.9,96.5,95.3,96.4,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3
Sao Tome and Principe,,,,,,,74.1,,,,,,,,,,91.8,,,,,,,,,,94.8,,,,,,,77.3,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,,,,99.5,,98.8,
Slovenia,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,99.9,,,,,,,99.9
Eswatini,,75,,,,,,,,,,84.3,,,,,,,,,,,,,,92.9,,,,,,,,,,,95.3
Seychelles,,,,,,,,,,,,,98.5,,,,,,,99.1,,,,,,,,99.4,,,,,,,,,99.4
Syria,,,,,,,59,,,,,,,,,,,,,,,,,,,,,93,,90.2,,,,,,,94.1
Chad,,,,,,,,,,,,,,,,,,,8.95,,,,,,,23.2,,,,30.8,,,,,,,42.2
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,67.9,,,74.6,,72.7
Thailand,,,,,,96.2,,,,,,,,,,,,,,,,,,,,97.8,,,,,97.9,,,,,,
Tajikistan,,,,,,,,,,,,,,,99.7,,,,,,,,,,,99.8,,,,,,,,,,,99.9
Turkmenistan,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,99.9
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,
Tonga,,99.8,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,99.6,,,,,
Trinidad and Tobago,,,,,,99.2,,,,,,,,,,99.3,,,,,,,,,,,,,,99.5,,,,,,,99.6
Tunisia,,,,,,,,,,62.5,,,,,,,,,,75.1,,,,,,,,,,92.2,,,94.7,95.8,,96.1,
Turkey,68.3,,,,,75.2,,,,,86,,,,,88.4,,,,,,,,,,,,,,93.3,94,94.1,94.3,,96.6,97.2,97.9
Tanzania,,,,,,,,,,,,,,77.9,,,,,,,,,,,,,,76.2,,,,,,,,72.8,
Uganda,,,,,,,,,,,,,,,,,63.1,,,,,,,,,,,76.2,,,,81.1,,,,85.5,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.8
Uruguay,98.8,,,,,,,,,,99,,,,,,,,,,,99,,,,,,,,,,99.1,99,99.3,99.6,99.2,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,100
Venezuela,,,,,,,93.9,,,,,,,,,96.4,,,,,,,,,,,98.1,,,,,,98.8,,98.8,,
Vietnam,,,,,94,,,,,,,,,,93.4,,,,,,,,,,93.6,94.1,,,,,,,,,,,96.7
Vanuatu,,,,,67.6,,,,,,,,,,,,,,,85.2,,,,,,,,,,91.9,,,,,,,94.8
Samoa,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,99.4,,,,,,,99.6
Yemen,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,60.5,,,,,,,76
South Africa,,,,,,85,,,,,,,,,,,,,,,,94.3,,,,,,,,,,,98.1,,,,99.2
Zambia,,,,,,,,,,,,,,,,65.5,,,,,,,,,66.2,,,66.3,,,,,58.5,,,,
Zimbabwe,,,,,,,,84.8,,,,,,,,,,94.3,,,,,,,,,,,,,,,,,,,92.1
